L. de onda,Abs
190,0.10726
190.5,0.08066
191,0.00512
191.5,0.12228
192,0.08142
192.5,0.14753
193,0.03804
193.5,0.07114
194,0.07939
194.5,-0.00137
195,-0.00232
195.5,0.05423
196,3.27E-04
196.5,0.04411
197,0.12358
197.5,0.04863
198,0.13879
198.5,-0.03556
199,-0.01932
199.5,0.0194
200,0.01211
200.5,0.05222
201,-0.002
201.5,0.16084
202,0.15186
202.5,-0.00776
203,0.07537
203.5,0.02494
204,0.03201
204.5,0.07496
205,0.00199
205.5,0.04873
206,0.1076
206.5,-0.00613
207,0.152
207.5,0.04419
208,0.10109
208.5,0.05998
209,0.03098
209.5,0.04322
210,0.09583
210.5,-0.0216
211,0.11196
211.5,0.01185
212,0.06763
212.5,0.17774
213,0.09419
213.5,0.12248
214,-0.03738
214.5,0.16204
215,0.12167
215.5,0.07972
216,0.05384
216.5,0.02584
217,-0.02378
217.5,0.05886
218,0.07175
218.5,0.13036
219,0.1114
219.5,0.06381
220,0.06046
220.5,0.087
221,0.04567
221.5,0.06335
222,0.09084
222.5,0.15758
223,0.0719
223.5,0.08434
224,0.0212
224.5,0.09956
225,0.04774
225.5,-0.06339
226,0.15635
226.5,0.11694
227,0.19781
227.5,0.0658
228,0.02909
228.5,0.12894
229,0.15874
229.5,0.14591
230,0.26567
230.5,0.14817
231,0.13125
231.5,0.11989
232,0.12317
232.5,0.01734
233,0.14357
233.5,0.02958
234,0.0324
234.5,0.01367
235,-0.01956
235.5,0.04213
236,0.0032
236.5,0.09124
237,0.12238
237.5,0.05586
238,0.11531
238.5,0.10878
239,0.07099
239.5,0.10937
240,0.10114
240.5,0.00808
241,0.1074
241.5,0.08145
242,-0.01523
242.5,0.08606
243,0.17823
243.5,0.03685
244,0.06238
244.5,0.08339
245,0.03083
245.5,0.02395
246,0.19119
246.5,0.13058
247,0.14937
247.5,0.04864
248,0.09865
248.5,0.22026
249,0.17316
249.5,0.05918
250,0.07939
250.5,0.04579
251,0.01978
251.5,0.13502
252,0.08385
252.5,0.10327
253,0.07948
253.5,0.0037
254,0.0573
254.5,0.01896
255,-0.01695
255.5,-0.01913
256,0.05509
256.5,0.03519
257,0.0557
257.5,0.08852
258,0.11763
258.5,0.05736
259,0.0546
259.5,0.02866
260,0.06838
260.5,0.04611
261,0.0498
261.5,0.13204
262,0.14863
262.5,0.07875
263,0.06365
263.5,0.11565
264,0.12152
264.5,0.12489
265,0.14916
265.5,0.06063
266,0.08902
266.5,0.17625
267,0.02517
267.5,0.1218
268,0.04501
268.5,0.11458
269,0.08747
269.5,0.04938
270,0.09193
270.5,0.10133
271,0.19068
271.5,0.09401
272,0.14963
272.5,0.0836
273,0.0481
273.5,0.17936
274,0.05584
274.5,0.10989
275,0.12732
275.5,0.10827
276,0.0445
276.5,0.16151
277,0.06285
277.5,0.08386
278,0.09657
278.5,0.12681
279,0.16506
279.5,0.1304
280,0.18886
280.5,0.1029
281,0.16083
281.5,0.06956
282,0.08661
282.5,0.19121
283,0.09929
283.5,0.15996
284,0.10147
284.5,0.15458
285,0.15525
285.5,0.22523
286,0.20495
286.5,0.19545
287,0.2694
287.5,0.27639
288,0.22148
288.5,0.29862
289,0.25432
289.5,0.33276
290,0.30404
290.5,0.30413
291,0.3164
291.5,0.31137
292,0.3135
292.5,0.30129
293,0.311
293.5,0.3035
294,0.31374
294.5,0.30671
295,0.30949
295.5,0.30115
296,0.30342
296.5,0.30669
297,0.30718
297.5,0.30095
298,0.28803
298.5,0.29275
299,0.28731
299.5,0.28009
300,0.28096
300.5,0.2793
301,0.27722
301.5,0.27287
302,0.27164
302.5,0.26732
303,0.26489
303.5,0.26088
304,0.25872
304.5,0.25631
305,0.25303
305.5,0.2497
306,0.24925
306.5,0.24691
307,0.24483
307.5,0.24155
308,0.23687
308.5,0.23583
309,0.23479
309.5,0.22841
310,0.22834
310.5,0.22505
311,0.22151
311.5,0.22301
312,0.21883
312.5,0.21807
313,0.21378
313.5,0.21176
314,0.20718
314.5,0.20727
315,0.20757
315.5,0.20419
316,0.20272
316.5,0.2
317,0.19744
317.5,0.19636
318,0.19406
318.5,0.19345
319,0.1896
319.5,0.18911
320,0.18644
320.5,0.18591
321,0.18244
321.5,0.1805
322,0.17892
322.5,0.17711
323,0.17591
